Date,AAPL,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMZN,BAC,CRM,CSCO,CVX,DHR,GE,GOOG,GOOGL,HD,IBM,INTU,JNJ,JPM,KO,LIN,LLY,MCD,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PG,QCOM,TMO,TXN,UNH,VZ,WFC,WMT,XOM
2006-02-28,2.065645694732666,13.802417755126953,23.529972076416016,38.54999923706055,13.552278518676758,38.66999816894531,53.877967834472656,1.871999979019165,30.921066284179688,8.687609672546387,13.609149932861328,28.2359561920166,12.245440483093262,98.59864807128906,9.021380424499512,9.064172744750977,26.491243362426758,42.90955352783203,21.63016128540039,33.97701644897461,25.309860229492188,11.929189682006836,37.63478088378906,31.6815185546875,20.855493545532227,17.299043655395508,19.01025390625,3.8299999237060547,0.3602408170700073,10.078167915344238,35.14042282104492,35.49293518066406,30.88232421875,32.947120666503906,19.406211853027344,46.729801177978516,12.040494918823242,19.259132385253906,10.231560707092285,31.86044692993164
2006-03-01,2.0840439796447754,13.746183395385742,23.508365631103516,39.040000915527344,13.944353103637695,40.06999969482422,54.28481674194336,1.8559999465942383,31.09151268005371,9.1762113571167,14.160511016845703,28.615890502929688,12.370763778686523,98.26868438720703,9.075616836547852,9.118663787841797,26.767791748046875,42.72770309448242,21.781452178955078,33.98291015625,25.611310958862305,12.025826454162598,38.24132537841797,31.83530616760254,20.86744499206543,17.348669052124023,19.201274871826172,3.835714101791382,0.3739231526851654,10.394636154174805,35.22364807128906,35.59953689575195,31.45204734802246,33.28021240234375,20.92099952697754,46.890316009521484,12.219136238098145,19.406131744384766,10.18419361114502,32.38099670410156
2006-03-02,2.099426031112671,13.571229934692383,23.48674201965332,38.810001373291016,14.07010269165039,41.33000183105469,54.58460235595703,1.843999981880188,30.784690856933594,9.153775215148926,14.03947639465332,28.500919342041016,12.308104515075684,98.53870391845703,9.365448951721191,9.409872055053711,26.579246520996094,42.74911117553711,21.54561424255371,34.00059509277344,25.629772186279297,11.91213321685791,38.13674545288086,31.755571365356445,20.873414993286133,17.428070068359375,19.08099937438965,3.8299999237060547,0.3744579255580902,10.386518478393555,35.241493225097656,35.26789093017578,31.321075439453125,33.099395751953125,21.031517028808594,46.20819854736328,12.147677421569824,19.151155471801758,10.163890838623047,32.65467834472656
2006-03-03,2.0424225330352783,13.677451133728027,23.429113388061523,39.04999923706055,13.774211883544922,39.5099983215332,53.81370162963867,1.8604999780654907,30.811967849731445,9.482832908630371,14.147063255310059,28.48090934753418,12.324275970458984,99.16861724853516,9.408488273620605,9.453115463256836,26.522672653198242,42.759796142578125,21.621273040771484,33.87091827392578,25.58671760559082,11.880868911743164,38.40290832519531,31.732776641845703,20.819650650024414,17.462810516357422,19.052701950073242,3.822856903076172,0.3757575452327728,10.37840461730957,35.360389709472656,35.338958740234375,31.190105438232422,33.223114013671875,20.992515563964844,45.421730041503906,11.997617721557617,19.145145416259766,10.22479248046875,32.72445297241211
2006-03-06,1.9748657941818237,13.64621353149414,23.321046829223633,38.43000030517578,13.72982120513916,39.38999938964844,52.50031661987305,1.843000054359436,30.82560157775879,9.066524505615234,14.15378189086914,27.921003341674805,12.202993392944336,99.2885971069336,9.15771484375,9.201151847839355,26.271276473999023,42.781192779541016,21.621273040771484,34.09489059448242,25.488271713256836,11.923501014709473,38.00368118286133,32.17707443237305,20.712112426757812,17.348669052124023,19.038557052612305,3.6600000858306885,0.37499257922172546,10.362176895141602,35.479278564453125,35.338958740234375,30.93471336364746,33.146976470947266,21.018512725830078,45.50198745727539,12.051215171813965,19.115154266357422,10.177423477172852,32.18781280517578
2006-03-07,1.9998983144760132,13.599347114562988,22.968013763427734,38.11000061035156,13.55967903137207,38.27000045776367,52.67160415649414,1.846500039100647,31.105144500732422,9.293375015258789,14.032755851745605,27.656034469604492,12.36065673828125,99.43859100341797,9.06690788269043,9.109914779663086,26.094650268554688,42.936275482177734,21.750303268432617,34.31293869018555,25.51901626586914,11.880868911743164,38.129756927490234,32.245426177978516,20.694198608398438,17.318893432617188,19.144681930541992,3.6371428966522217,0.36857205629348755,10.451435089111328,35.52683639526367,35.71205139160156,31.340713500976562,33.19456100463867,20.3228759765625,45.27726745605469,11.972609519958496,19.346132278442383,10.211258888244629,32.1180419921875
2006-03-08,1.9802950620651245,13.583724975585938,22.71586036682129,37.779998779296875,13.226791381835938,37.09000015258789,52.96427536010742,1.840499997138977,31.16652488708496,9.42798900604248,14.026032447814941,27.556055068969727,12.34650707244873,100.27848815917969,8.80394458770752,8.845704078674316,25.962188720703125,43.39082336425781,21.585662841796875,34.619415283203125,25.59285545349121,12.003091812133789,37.78654861450195,32.672630310058594,20.71809196472168,17.3991641998291,19.279104232788086,3.5899999141693115,0.3667375445365906,10.435208320617676,35.71790313720703,36.16807174682617,32.43430709838867,33.30876159667969,20.374893188476562,45.90323257446289,11.947604179382324,19.3221435546875,10.211258888244629,32.04292297363281
2006-03-09,1.928118348121643,13.49312973022461,22.643817901611328,37.439998626708984,13.093640327453613,36.209999084472656,52.5217170715332,1.805999994277954,31.05743408203125,9.35071086883545,13.743633270263672,27.22110366821289,12.374810218811035,99.58856964111328,8.533268928527832,8.57374382019043,25.63418197631836,43.32666015625,23.018476486206055,34.36601638793945,25.254499435424805,12.051410675048828,37.436363220214844,32.513145446777344,20.628477096557617,17.31387710571289,19.102222442626953,3.607142925262451,0.36864906549453735,10.418975830078125,35.82538986206055,36.36353302001953,31.497865676879883,33.461021423339844,20.036823272705078,45.21306610107422,11.997617721557617,19.17215347290039,10.204495429992676,31.618980407714844
2006-03-10,1.9058008193969727,13.721192359924316,22.73748016357422,37.209999084472656,13.160213470458984,36.630001068115234,52.45748519897461,1.8109999895095825,31.33016014099121,9.430482864379883,13.99913215637207,27.03612518310547,12.39098072052002,100.93843841552734,8.39643669128418,8.436263084411621,26.018962860107422,43.62077713012695,23.476804733276367,34.796241760253906,25.3037166595459,12.156571388244629,38.56401062011719,32.60996627807617,20.700164794921875,17.439306259155273,19.222501754760742,3.6500000953674316,0.3622284531593323,10.467666625976562,36.02840042114258,36.86692810058594,31.432397842407227,33.57521057128906,20.004329681396484,45.07666015625,12.215566635131836,19.274145126342773,10.22479248046875,31.758501052856445
2006-03-13,1.9808974266052246,14.036725997924805,22.730276107788086,37.13999938964844,13.263777732849121,34.0,52.528873443603516,1.809499979019165,31.32334327697754,9.694725036621094,14.026032447814941,27.58605194091797,12.423320770263672,100.9983901977539,8.385490417480469,8.425265312194824,26.018962860107422,43.81330108642578,23.441207885742188,34.81980514526367,25.260635375976562,12.1651611328125,38.63404083251953,32.60427474975586,20.503019332885742,17.660057067871094,19.180051803588867,3.585714101791382,0.36658531427383423,10.467666625976562,36.11796188354492,36.70703125,31.569917678833008,33.784610748291016,20.08233642578125,44.72355270385742,12.26201057434082,19.30713653564453,10.211258888244629,32.00535583496094
